BTB_a_5,BTB_h_5,Def EFG_a_5,Def EFG_h_5,Def FTFGA_a_5,Def FTFGA_h_5,Def ORB_a_5,Def ORB_h_5,Def TOV_a_5,Def TOV_h_5,EFG_a_5,EFG_h_5,FTFGA_a_5,FTFGA_h_5,Game_ID,Home_5,ORB_a_5,ORB_h_5,TOV_a_5,TOV_h_5,Win_5,Win Pct_a_5,Win Pct_h_5,n games_a_5,n games_h_5,BTB_a_15,BTB_h_15,Def EFG_a_15,Def EFG_h_15,Def FTFGA_a_15,Def FTFGA_h_15,Def ORB_a_15,Def ORB_h_15,Def TOV_a_15,Def TOV_h_15,EFG_a_15,EFG_h_15,FTFGA_a_15,FTFGA_h_15,Home_15,ORB_a_15,ORB_h_15,TOV_a_15,TOV_h_15,Win_15,Win Pct_a_15,Win Pct_h_15,n games_a_15,n games_h_15
0,1,0.47060000000000002,0.48220000000000002,0.28839999999999993,0.25479999999999997,0.2364,0.2082,0.16800000000000001,0.1368,0.46479999999999999,0.5351999999999999,0.31180000000000002,0.28300000000000003,21400132,1.0,0.25040000000000007,0.18639999999999998,0.1298,0.16619999999999999,0.0,0.80000000000000004,0.59999999999999998,5,5,0,1,0.49087500000000001,0.47839999999999999,0.29487499999999994,0.31429999999999997,0.24087499999999998,0.22949999999999998,0.18099999999999999,0.13240000000000002,0.49375000000000002,0.50750000000000006,0.33200000000000002,0.25890000000000002,1.0,0.22325000000000003,0.21290000000000001,0.13899999999999998,0.17219999999999999,0.0,0.75,0.40000000000000002,8,10
1,1,0.54380000000000006,0.51800000000000002,0.25419999999999998,0.2064,0.25679999999999997,0.23480000000000004,0.12940000000000002,0.156,0.50299999999999989,0.5302,0.38380000000000003,0.33239999999999997,21400133,1.0,0.22420000000000001,0.22719999999999999,0.11620000000000001,0.16199999999999998,0.0,0.59999999999999998,0.80000000000000004,5,5,1,1,0.54671428571428582,0.49862499999999993,0.24585714285714286,0.27612500000000001,0.2614285714285714,0.255,0.14914285714285716,0.16075,0.49214285714285705,0.53087499999999999,0.36028571428571432,0.30912499999999998,1.0,0.25857142857142856,0.20762499999999998,0.12985714285714287,0.16062500000000002,0.0,0.5714285714285714,0.625,7,8
0,1,0.49119999999999997,0.49840000000000001,0.28760000000000002,0.21519999999999997,0.30080000000000001,0.29899999999999999,0.19900000000000001,0.12279999999999999,0.51600000000000001,0.51619999999999999,0.33459999999999995,0.30919999999999997,21400134,1.0,0.18660000000000002,0.2198,0.13199999999999998,0.17019999999999999,0.0,0.80000000000000004,0.40000000000000002,5,5,0,1,0.52022222222222225,0.51819999999999999,0.31944444444444442,0.24669999999999997,0.27733333333333332,0.25739999999999996,0.19455555555555559,0.12690000000000001,0.48844444444444446,0.51880000000000004,0.39099999999999996,0.29459999999999997,1.0,0.22966666666666669,0.26590000000000003,0.1182222222222222,0.16629999999999998,0.0,0.77777777777777779,0.40000000000000002,9,10
0,1,0.47899999999999993,0.50239999999999996,0.25920000000000004,0.2616,0.27579999999999999,0.22380000000000005,0.14280000000000001,0.12659999999999999,0.51579999999999993,0.46160000000000007,0.3306,0.21799999999999997,21400135,1.0,0.253,0.29359999999999997,0.14640000000000003,0.14440000000000003,1.0,0.80000000000000004,0.40000000000000002,5,5,0,1,0.45811111111111102,0.48729999999999996,0.25966666666666671,0.28020000000000006,0.29122222222222222,0.20950000000000002,0.13444444444444448,0.1242,0.52433333333333332,0.4667,0.3561111111111111,0.24149999999999999,1.0,0.24322222222222223,0.29410000000000003,0.155,0.16860000000000003,1.0,0.77777777777777779,0.29999999999999999,9,10
0,1,0.5172000000000001,0.48819999999999997,0.24100000000000002,0.29459999999999997,0.30599999999999999,0.221,0.18359999999999999,0.12540000000000001,0.49980000000000002,0.49380000000000007,0.3226,0.26860000000000001,21400136,1.0,0.26500000000000001,0.26340000000000002,0.1328,0.15759999999999999,0.0,0.80000000000000004,0.40000000000000002,5,5,0,1,0.48188888888888887,0.4831111111111111,0.25277777777777777,0.27400000000000002,0.29166666666666669,0.23677777777777775,0.18744444444444441,0.12199999999999998,0.48333333333333328,0.46544444444444444,0.31655555555555559,0.28355555555555551,1.0,0.2466666666666667,0.26477777777777778,0.13933333333333334,0.13788888888888887,0.0,0.88888888888888884,0.33333333333333331,9,9
0,1,0.51059999999999994,0.57819999999999994,0.33239999999999997,0.20739999999999997,0.27479999999999999,0.19980000000000001,0.22339999999999999,0.15720000000000001,0.50339999999999996,0.44640000000000002,0.2752,0.34319999999999995,21400137,1.0,0.24779999999999996,0.25999999999999995,0.1162,0.158,0.0,0.59999999999999998,0.20000000000000001,5,5,0,1,0.51788888888888884,0.5548749999999999,0.28666666666666668,0.2505,0.30022222222222222,0.21337499999999998,0.20222222222222222,0.15737499999999999,0.5364444444444445,0.46300000000000002,0.26088888888888889,0.33949999999999991,1.0,0.25266666666666665,0.28412499999999996,0.12144444444444444,0.15837499999999999,0.0,0.66666666666666663,0.25,9,8
0,0,0.46660000000000001,0.50540000000000007,0.32100000000000001,0.25619999999999998,0.2306,0.25900000000000001,0.11040000000000001,0.15460000000000002,0.54299999999999993,0.51819999999999999,0.2404,0.2984,21400138,1.0,0.28940000000000005,0.21799999999999997,0.14760000000000001,0.16499999999999998,0.0,0.80000000000000004,0.40000000000000002,5,5,0,0,0.45511111111111113,0.4995,0.30911111111111111,0.28237499999999999,0.246,0.25700000000000001,0.127,0.14624999999999999,0.51966666666666672,0.52925,0.24099999999999999,0.27400000000000002,1.0,0.28388888888888897,0.232875,0.14322222222222222,0.15075,0.0,0.66666666666666663,0.5,9,8
0,1,0.51380000000000003,0.504,0.34419999999999995,0.31040000000000001,0.21139999999999998,0.1706,0.122,0.17199999999999999,0.51419999999999999,0.45400000000000001,0.44960000000000006,0.26200000000000001,21400139,1.0,0.29779999999999995,0.24539999999999998,0.1578,0.128,0.0,0.40000000000000002,0.59999999999999998,5,5,0,1,0.48366666666666663,0.49112499999999998,0.33011111111111108,0.27687499999999998,0.21877777777777779,0.19062499999999999,0.13155555555555554,0.14849999999999999,0.47733333333333328,0.48087500000000005,0.46599999999999997,0.29812500000000003,1.0,0.30266666666666669,0.23812499999999998,0.17077777777777781,0.15375,0.0,0.55555555555555558,0.625,9,8
0,1,0.48439999999999994,0.48939999999999995,0.27539999999999998,0.25719999999999998,0.19839999999999999,0.21920000000000001,0.15479999999999999,0.1216,0.56999999999999995,0.48499999999999999,0.2576,0.30860000000000004,21400140,1.0,0.17759999999999998,0.25919999999999999,0.21080000000000002,0.13780000000000001,0.0,0.59999999999999998,0.59999999999999998,5,5,0,1,0.45974999999999994,0.48999999999999994,0.28275,0.24466666666666667,0.24587499999999998,0.20622222222222222,0.17899999999999999,0.13855555555555554,0.5538749999999999,0.4737777777777778,0.28887499999999999,0.29522222222222222,1.0,0.19774999999999998,0.23433333333333334,0.203625,0.14388888888888887,0.0,0.75,0.44444444444444442,8,9
0,1,0.53179999999999994,0.51200000000000001,0.34100000000000003,0.31740000000000002,0.21920000000000001,0.21539999999999998,0.1734,0.17080000000000001,0.501,0.50319999999999998,0.27560000000000001,0.29959999999999998,21400141,1.0,0.17760000000000001,0.2142,0.12540000000000001,0.16899999999999998,0.0,0.40000000000000002,0.40000000000000002,5,5,0,1,0.52728571428571425,0.49155555555555558,0.36700000000000005,0.3348888888888889,0.2318571428571429,0.2338888888888889,0.18300000000000002,0.15488888888888888,0.49985714285714283,0.50155555555555553,0.32642857142857146,0.28111111111111114,1.0,0.18771428571428572,0.22077777777777779,0.129,0.14666666666666664,0.0,0.5714285714285714,0.55555555555555558,7,9
