Game_ID,Date,Home Team,Home ID,Away Team,Away ID,Home Team Score,Away Team Score,Home EFG,Home TOV,Home ORB,Home FTFGA,Away EFG,Away TOV,Away ORB,Away FTFGA,Home Team Win
21400249,2014-12-01 00:00:00,SAS,1610612759,PHI,1610612755,109,103,0.488,0.146,0.244,0.422,0.494,0.115,0.163,0.281,1
21400250,2014-12-01 00:00:00,MIA,1610612748,WAS,1610612764,86,107,0.472,0.123,0.167,0.417,0.611,0.156,0.212,0.333,0
21400251,2014-12-01 00:00:00,DEN,1610612743,UTA,1610612762,103,101,0.523,0.113,0.19,0.195,0.47,0.144,0.311,0.357,1
21400252,2014-12-01 00:00:00,MIN,1610612750,LAC,1610612746,101,127,0.439,0.105,0.128,0.488,0.606,0.147,0.257,0.45,0
21400253,2014-12-02 00:00:00,MIL,1610612749,CLE,1610612739,108,111,0.527,0.132,0.267,0.141,0.575,0.187,0.2,0.521,0
21400254,2014-12-02 00:00:00,BOS,1610612738,ATL,1610612737,105,109,0.56,0.222,0.25,0.155,0.591,0.16,0.108,0.171,0
21400255,2014-12-02 00:00:00,LAL,1610612747,DET,1610612765,106,96,0.543,0.15,0.267,0.296,0.4,0.138,0.314,0.344,1
21400256,2014-12-02 00:00:00,BKN,1610612751,NYK,1610612752,98,93,0.472,0.154,0.438,0.225,0.5,0.159,0.317,0.173,1
21400257,2014-12-02 00:00:00,DAL,1610612742,CHI,1610612741,132,129,0.534,0.121,0.245,0.265,0.495,0.149,0.306,0.33,1
21400258,2014-12-02 00:00:00,OKC,1610612760,NOP,1610612740,104,112,0.482,0.164,0.214,0.321,0.472,0.124,0.308,0.511,0
21400259,2014-12-02 00:00:00,POR,1610612757,DEN,1610612743,105,103,0.529,0.118,0.105,0.198,0.549,0.145,0.175,0.235,1
21400260,2014-12-02 00:00:00,IND,1610612754,PHX,1610612756,99,116,0.506,0.184,0.186,0.2,0.57,0.119,0.214,0.302,0
21400261,2014-12-02 00:00:00,TOR,1610612761,SAC,1610612758,117,109,0.557,0.134,0.382,0.239,0.54,0.17,0.371,0.493,1
21400262,2014-12-02 00:00:00,ORL,1610612753,GSW,1610612744,97,98,0.483,0.114,0.182,0.161,0.512,0.163,0.289,0.22,0
21400263,2014-12-03 00:00:00,CHI,1610612741,CHA,1610612766,102,95,0.538,0.132,0.103,0.263,0.411,0.051,0.135,0.256,1
21400264,2014-12-03 00:00:00,LAL,1610612747,WAS,1610612764,95,111,0.459,0.132,0.18,0.247,0.516,0.11,0.261,0.204,0
21400265,2014-12-03 00:00:00,DET,1610612765,BOS,1610612738,102,109,0.402,0.108,0.281,0.284,0.468,0.118,0.17,0.29,0
21400266,2014-12-03 00:00:00,SAS,1610612759,BKN,1610612751,93,95,0.416,0.083,0.286,0.119,0.461,0.101,0.184,0.2,0
21400267,2014-12-03 00:00:00,ATL,1610612737,MIA,1610612748,112,102,0.622,0.194,0.161,0.311,0.609,0.204,0.138,0.5,1
21400268,2014-12-03 00:00:00,MEM,1610612763,HOU,1610612745,96,105,0.526,0.212,0.256,0.355,0.495,0.202,0.442,0.215,0
21400269,2014-12-03 00:00:00,DAL,1610612742,MIL,1610612749,107,105,0.5,0.167,0.354,0.239,0.568,0.194,0.216,0.438,1
21400270,2014-12-03 00:00:00,PHI,1610612755,MIN,1610612750,85,77,0.421,0.192,0.25,0.305,0.375,0.191,0.234,0.202,1
21400271,2014-12-03 00:00:00,TOR,1610612761,UTA,1610612762,123,104,0.646,0.099,0.267,0.304,0.529,0.09,0.31,0.172,1
21400272,2014-12-03 00:00:00,ORL,1610612753,LAC,1610612746,86,114,0.462,0.168,0.136,0.316,0.615,0.178,0.176,0.321,0
21400273,2014-12-04 00:00:00,CLE,1610612739,NYK,1610612752,90,87,0.493,0.184,0.167,0.371,0.466,0.23,0.386,0.068,1
21400274,2014-12-04 00:00:00,IND,1610612754,POR,1610612757,82,88,0.423,0.169,0.204,0.088,0.422,0.12,0.111,0.277,0
21400275,2014-12-04 00:00:00,NOP,1610612740,GSW,1610612744,85,112,0.433,0.167,0.208,0.146,0.52,0.091,0.327,0.17,0
21400276,2014-12-05 00:00:00,NYK,1610612752,CHA,1610612766,102,103,0.532,0.066,0.114,0.278,0.5,0.075,0.25,0.205,0
21400277,2014-12-05 00:00:00,OKC,1610612760,PHI,1610612755,103,91,0.556,0.178,0.194,0.437,0.429,0.195,0.358,0.357,1
21400278,2014-12-05 00:00:00,DEN,1610612743,WAS,1610612764,89,119,0.409,0.182,0.208,0.366,0.571,0.162,0.35,0.318,0
21400279,2014-12-05 00:00:00,LAL,1610612747,BOS,1610612738,96,113,0.446,0.114,0.137,0.207,0.556,0.159,0.244,0.244,0
21400280,2014-12-05 00:00:00,ATL,1610612737,BKN,1610612751,98,75,0.512,0.114,0.125,0.296,0.394,0.193,0.184,0.238,1
21400281,2014-12-05 00:00:00,CLE,1610612739,TOR,1610612761,105,91,0.542,0.142,0.366,0.25,0.453,0.12,0.298,0.233,1
21400282,2014-12-05 00:00:00,SAS,1610612759,MEM,1610612763,107,101,0.56,0.15,0.286,0.19,0.494,0.106,0.179,0.325,1
21400283,2014-12-05 00:00:00,HOU,1610612745,MIN,1610612750,114,112,0.564,0.214,0.194,0.397,0.479,0.129,0.286,0.278,1
21400284,2014-12-05 00:00:00,PHX,1610612756,DAL,1610612742,118,106,0.644,0.139,0.2,0.213,0.477,0.114,0.32,0.341,1
21400285,2014-12-05 00:00:00,MIA,1610612748,MIL,1610612749,85,109,0.493,0.19,0.083,0.397,0.63,0.268,0.414,0.377,0
21400286,2014-12-05 00:00:00,ORL,1610612753,UTA,1610612762,98,93,0.547,0.109,0.243,0.27,0.506,0.138,0.31,0.266,1
21400287,2014-12-05 00:00:00,IND,1610612754,SAC,1610612758,101,102,0.406,0.083,0.191,0.302,0.446,0.143,0.244,0.482,0
21400288,2014-12-06 00:00:00,PHI,1610612755,DET,1610612765,108,101,0.5,0.177,0.255,0.345,0.425,0.174,0.226,0.402,1
21400289,2014-12-06 00:00:00,GSW,1610612744,CHI,1610612741,112,102,0.517,0.115,0.313,0.281,0.476,0.228,0.405,0.325,1
21400290,2014-12-06 00:00:00,PHX,1610612756,HOU,1610612745,95,100,0.403,0.128,0.296,0.28,0.475,0.241,0.442,0.383,0
21400291,2014-12-06 00:00:00,MIN,1610612750,SAS,1610612759,101,123,0.458,0.082,0.186,0.386,0.616,0.167,0.242,0.305,0
21400292,2014-12-06 00:00:00,ORL,1610612753,SAC,1610612758,105,96,0.56,0.122,0.278,0.169,0.468,0.118,0.231,0.354,1
21400293,2014-12-06 00:00:00,NOP,1610612740,LAC,1610612746,100,120,0.525,0.122,0.273,0.313,0.66,0.078,0.154,0.308,0
21400294,2014-12-07 00:00:00,WAS,1610612764,BOS,1610612738,93,101,0.425,0.181,0.286,0.226,0.455,0.15,0.2,0.295,0
21400295,2014-12-07 00:00:00,DEN,1610612743,ATL,1610612737,84,96,0.398,0.145,0.333,0.14,0.471,0.125,0.234,0.218,0
21400296,2014-12-07 00:00:00,MIA,1610612748,MEM,1610612763,87,103,0.519,0.13,0.244,0.1,0.644,0.165,0.259,0.151,0
21400297,2014-12-07 00:00:00,OKC,1610612760,DET,1610612765,96,94,0.483,0.16,0.34,0.195,0.493,0.148,0.19,0.368,1
21400298,2014-12-07 00:00:00,MIL,1610612749,DAL,1610612742,102,125,0.524,0.191,0.282,0.202,0.655,0.115,0.242,0.226,0
21400299,2014-12-07 00:00:00,POR,1610612757,NYK,1610612752,103,99,0.482,0.109,0.327,0.341,0.551,0.147,0.125,0.177,1
21400300,2014-12-07 00:00:00,NOP,1610612740,LAL,1610612747,104,87,0.566,0.166,0.25,0.181,0.428,0.072,0.146,0.167,1
21400301,2014-12-08 00:00:00,ATL,1610612737,IND,1610612754,108,92,0.578,0.162,0.15,0.351,0.494,0.169,0.163,0.202,1
