BTB_a_5,BTB_h_5,Def EFG_a_5,Def EFG_h_5,Def FTFGA_a_5,Def FTFGA_h_5,Def ORB_a_5,Def ORB_h_5,Def TOV_a_5,Def TOV_h_5,EFG_a_5,EFG_h_5,FTFGA_a_5,FTFGA_h_5,Game_ID,Home_5,ORB_a_5,ORB_h_5,TOV_a_5,TOV_h_5,Win_5,Win Pct_a_5,Win Pct_h_5,n games_a_5,n games_h_5,BTB_a_15,BTB_h_15,Def EFG_a_15,Def EFG_h_15,Def FTFGA_a_15,Def FTFGA_h_15,Def ORB_a_15,Def ORB_h_15,Def TOV_a_15,Def TOV_h_15,EFG_a_15,EFG_h_15,FTFGA_a_15,FTFGA_h_15,Home_15,ORB_a_15,ORB_h_15,TOV_a_15,TOV_h_15,Win_15,Win Pct_a_15,Win Pct_h_15,n games_a_15,n games_h_15
0,0,0.48620000000000002,0.46820000000000006,0.37280000000000002,0.29860000000000003,0.2742,0.25579999999999997,0.13500000000000001,0.10440000000000001,0.51160000000000005,0.48360000000000003,0.29759999999999998,0.251,21400982,1.0,0.28500000000000003,0.19380000000000003,0.15179999999999999,0.16420000000000001,0.0,0.59999999999999998,0.20000000000000001,5,5,0,0,0.47806666666666664,0.47493333333333337,0.28213333333333335,0.27420000000000005,0.24126666666666668,0.24513333333333334,0.12673333333333334,0.11666666666666667,0.505,0.47653333333333336,0.29500000000000004,0.27359999999999995,1.0,0.31213333333333337,0.25393333333333334,0.13960000000000003,0.14740000000000003,0.0,0.73333333333333328,0.53333333333333333,15,15
0,0,0.5202,0.48659999999999998,0.30759999999999998,0.18319999999999997,0.26019999999999999,0.31019999999999998,0.1638,0.1502,0.52359999999999995,0.49580000000000002,0.26219999999999999,0.25240000000000007,21400983,1.0,0.22320000000000001,0.246,0.14939999999999998,0.14580000000000001,1.0,0.40000000000000002,0.40000000000000002,5,5,0,0,0.4791999999999999,0.48253333333333337,0.33306666666666673,0.2666,0.25326666666666664,0.28339999999999999,0.14373333333333335,0.1573333333333333,0.52306666666666668,0.4963999999999999,0.30293333333333339,0.28606666666666669,1.0,0.23119999999999999,0.25866666666666666,0.13046666666666668,0.15519999999999998,1.0,0.59999999999999998,0.53333333333333333,15,15
0,0,0.4824,0.49719999999999998,0.30320000000000003,0.33899999999999997,0.24200000000000005,0.18160000000000001,0.14780000000000001,0.13880000000000001,0.54100000000000004,0.52580000000000005,0.18700000000000003,0.29920000000000002,21400984,1.0,0.25900000000000001,0.26319999999999999,0.16800000000000001,0.14199999999999999,1.0,0.80000000000000004,0.59999999999999998,5,5,0,0,0.49533333333333324,0.50573333333333326,0.24733333333333338,0.3239999999999999,0.25693333333333329,0.24920000000000003,0.12793333333333334,0.15313333333333337,0.52086666666666659,0.48053333333333337,0.2549333333333334,0.27260000000000001,1.0,0.24986666666666665,0.2582666666666667,0.16133333333333333,0.13713333333333333,1.0,0.59999999999999998,0.40000000000000002,15,15
0,0,0.52900000000000014,0.52279999999999993,0.24080000000000004,0.26020000000000004,0.30559999999999998,0.26359999999999995,0.1734,0.13159999999999999,0.48620000000000002,0.5484,0.2412,0.37679999999999997,21400985,1.0,0.27100000000000002,0.27400000000000002,0.1462,0.14319999999999999,1.0,0.40000000000000002,0.80000000000000004,5,5,0,0,0.50039999999999996,0.47926666666666673,0.27240000000000003,0.25326666666666664,0.25393333333333329,0.25813333333333333,0.17139999999999997,0.1346,0.48806666666666665,0.5437333333333334,0.23220000000000005,0.29480000000000001,1.0,0.25040000000000001,0.25286666666666663,0.15993333333333334,0.14619999999999997,1.0,0.40000000000000002,0.73333333333333328,15,15
0,0,0.5069999999999999,0.52080000000000004,0.32320000000000004,0.155,0.23980000000000001,0.30480000000000002,0.14599999999999999,0.15040000000000001,0.57680000000000009,0.45319999999999999,0.30720000000000003,0.32819999999999994,21400986,1.0,0.21440000000000001,0.27700000000000002,0.11360000000000001,0.1384,0.0,0.80000000000000004,0.20000000000000001,5,5,0,0,0.49393333333333334,0.51300000000000001,0.28866666666666674,0.22033333333333335,0.22639999999999993,0.26940000000000003,0.14879999999999999,0.15606666666666669,0.51366666666666672,0.45346666666666674,0.2422,0.34619999999999995,1.0,0.23473333333333335,0.28986666666666672,0.13179999999999997,0.14779999999999999,0.0,0.59999999999999998,0.33333333333333331,15,15
0,0,0.53599999999999992,0.47220000000000006,0.3266,0.20579999999999998,0.28179999999999999,0.1958,0.15040000000000001,0.095599999999999991,0.50580000000000003,0.52339999999999998,0.21000000000000002,0.22939999999999999,21400987,1.0,0.22360000000000002,0.23319999999999999,0.099599999999999994,0.14460000000000001,1.0,0.20000000000000001,0.80000000000000004,5,5,0,0,0.50813333333333333,0.47060000000000002,0.29333333333333333,0.21533333333333332,0.27153333333333329,0.23586666666666664,0.16293333333333332,0.11433333333333334,0.4924,0.51000000000000001,0.27773333333333328,0.26373333333333338,1.0,0.22573333333333331,0.24446666666666664,0.13733333333333331,0.14466666666666667,1.0,0.40000000000000002,0.73333333333333328,15,15
0,1,0.46560000000000007,0.48680000000000001,0.26019999999999999,0.30979999999999996,0.25819999999999999,0.24840000000000001,0.15360000000000001,0.12200000000000003,0.45319999999999999,0.44340000000000002,0.25280000000000002,0.28759999999999997,21400988,1.0,0.26559999999999995,0.22420000000000001,0.1638,0.13900000000000001,0.0,0.40000000000000002,0.20000000000000001,5,5,0,1,0.49099999999999999,0.5159999999999999,0.28060000000000002,0.33553333333333335,0.2582000000000001,0.23626666666666671,0.15139999999999995,0.14073333333333335,0.47360000000000002,0.43613333333333332,0.2722,0.2940666666666667,1.0,0.26566666666666666,0.2346,0.15953333333333333,0.1447333333333333,0.0,0.33333333333333331,0.20000000000000001,15,15
0,0,0.47439999999999999,0.50660000000000005,0.36380000000000001,0.28220000000000001,0.1862,0.31419999999999998,0.11200000000000002,0.18240000000000001,0.46779999999999999,0.54359999999999997,0.23780000000000001,0.19359999999999999,21400989,1.0,0.2432,0.21299999999999999,0.13880000000000001,0.155,1.0,0.20000000000000001,0.59999999999999998,5,5,0,0,0.50219999999999998,0.48060000000000008,0.31759999999999994,0.22113333333333335,0.22040000000000001,0.30553333333333327,0.12626666666666667,0.17146666666666668,0.47353333333333331,0.51493333333333324,0.24440000000000001,0.22853333333333331,1.0,0.2447333333333333,0.21426666666666669,0.1226,0.15866666666666665,1.0,0.26666666666666666,0.66666666666666663,15,15
0,1,0.41239999999999999,0.53400000000000003,0.2944,0.27660000000000001,0.26640000000000003,0.26679999999999998,0.1308,0.15179999999999999,0.504,0.48539999999999994,0.29280000000000006,0.22600000000000003,21400990,1.0,0.25280000000000002,0.22739999999999999,0.15260000000000001,0.11279999999999998,1.0,0.80000000000000004,0.20000000000000001,5,5,0,1,0.44093333333333334,0.51300000000000001,0.26246666666666663,0.27926666666666661,0.24426666666666669,0.2712666666666666,0.13866666666666663,0.16413333333333333,0.50266666666666671,0.48480000000000001,0.27333333333333337,0.26453333333333334,1.0,0.22573333333333331,0.22093333333333331,0.13700000000000001,0.13873333333333332,1.0,0.80000000000000004,0.33333333333333331,15,15
0,1,0.46180000000000004,0.48480000000000001,0.28640000000000004,0.22719999999999999,0.22800000000000004,0.21200000000000002,0.18380000000000002,0.11180000000000001,0.52300000000000002,0.55579999999999996,0.2298,0.20000000000000001,21400991,1.0,0.25980000000000003,0.2298,0.15620000000000003,0.13520000000000001,0.0,0.80000000000000004,0.80000000000000004,5,5,0,1,0.47433333333333333,0.47139999999999999,0.30406666666666665,0.21459999999999999,0.22853333333333334,0.23139999999999999,0.15680000000000002,0.11833333333333333,0.48966666666666669,0.51526666666666676,0.22966666666666669,0.24633333333333335,1.0,0.27226666666666671,0.23559999999999998,0.16426666666666667,0.14153333333333334,0.0,0.46666666666666667,0.73333333333333328,15,15
